t_rtk,yaw_rtk,t_ekf,yaw_ekf
1780280706.0,0.8220500776893296,1780280705.3955126,0.8233792429188813
1780280706.0,0.8220500776893296,1780280705.414338,0.8233792431612601
1780280706.0,0.8220500776893296,1780280705.446622,0.823379243423618
1780280706.0,0.8220500776893296,1780280705.50512,0.8233792436237225
1780280706.0,0.8220500776893296,1780280705.549496,0.8233792437648467
1780280706.0,0.8220500776893296,1780280705.5612497,0.8233792438488204
1780280706.0,0.8220500776893296,1780280705.5767348,0.8233792439625506
1780280706.0,0.8220500776893296,1780280705.5935998,0.8233792440763361
1780280706.0,0.8220500776893296,1780280705.6138496,0.8233792442156972
1780280706.0,0.8220500776893296,1780280705.6341221,0.8233792443788464
1780280706.0,0.8220500776893296,1780280705.6557565,0.8233792445676541
1780280706.0,0.8220500776893296,1780280705.674813,0.8233792447293199
1780280706.0,0.8220500776893296,1780280705.6937904,0.8233792449189975
1780280706.0,0.8220500776893296,1780280705.738267,0.8233792450792395
1780280706.0,0.8220500776893296,1780280705.7575524,0.8233792452158645
1780280706.0,0.8220500776893296,1780280705.7783275,0.823379245349641
1780280706.0,0.8220500776893296,1780280705.7935865,0.8233792454806489
1780280706.0,0.8220500776893296,1780280705.8147488,0.8233792456343132
1780280706.0,0.8220500776893296,1780280705.845032,0.8233792457842304
1780280706.0,0.8220500776893296,1780280705.8590972,0.8233792459305225
1780280706.0,0.8220500776893296,1780280705.8740983,0.8233792460497484
1780280706.0,0.8220500776893296,1780280705.893895,0.8233792462230037
1780280706.0,0.8220500776893296,1780280705.9139643,0.8233792463501759
1780280706.0,0.8220500776893296,1780280705.9341433,0.8233792465002141
1780280706.0,0.8220500776893296,1780280705.953819,0.8233792466747933
1780280706.0,0.8220500776893296,1780280705.9753017,0.8233792469162228
1780280706.0,0.8220500776893296,1780280705.9975924,0.8233792470798688
1780280706.0,0.8220500776893296,1780280706.0138252,0.8233792472904304
1780280706.0,0.8220500776893296,1780280706.033582,0.8233792476124551
1780280706.0039,0.8220500776893296,1780280706.053633,0.8233792480056511
1780280706.025,0.8220500776893296,1780280706.0748937,0.8233792483722497
1780280706.0439,0.8220500776893296,1780280706.0938628,0.8233792488174507
1780280706.064,0.8220500776893296,1780280706.1136618,0.8233792492192143
1780280706.089,0.8220500776893296,1780280706.1380112,0.8233792495397164
1780280707.0,0.8220500776893296,1780280706.156563,0.8233792497528419
1780280707.0,0.8220500776893296,1780280706.174091,0.8233792499928574
1780280707.0,0.8220500776893296,1780280706.1939576,0.8233792502531677
1780280707.0,0.8220500776893296,1780280706.2135797,0.8233792504943401
1780280707.0,0.8220500776893296,1780280706.2338042,0.8233792506872815
1780280707.0,0.8220500776893296,1780280706.263733,0.8233792508686264
1780280707.0,0.8220500776893296,1780280706.282276,0.8233792510040502
1780280707.0,0.8220500776893296,1780280706.3032308,0.8233792510717337
1780280707.0,0.8220500776893296,1780280706.3156517,0.8233792511300998
1780280707.0,0.8220500776893296,1780280706.341905,0.8233792512052494
1780280707.0,0.8220500776893296,1780280706.3880715,0.8233792512951111
1780280707.0,0.8220500776893296,1780280706.428898,0.8233792513639177
1780280707.0,0.8220500776893296,1780280706.45532,0.8233792514247387
1780280707.0,0.8220500776893296,1780280706.4737148,0.8233792514883013
1780280707.0,0.8220500776893296,1780280706.4935687,0.8233792515533793
1780280707.0,0.8220500776893296,1780280706.5135798,0.8233792516277243
1780280707.0,0.8220500776893296,1780280706.5340822,0.8233792517046447
1780280707.0,0.8220500776893296,1780280706.5560105,0.8233792517751191
1780280707.0,0.8220500776893296,1780280706.5843158,0.8233792518258672
1780280707.0,0.8220500776893296,1780280706.5992138,0.8233792518667492
1780280707.0,0.8220500776893296,1780280706.6140885,0.8233792518863338
1780280707.0,0.8220500776893296,1780280706.634969,0.8233792519177658
1780280707.0,0.8220500776893296,1780280706.654344,0.8233792519549418
1780280707.0,0.8220500776893296,1780280706.6875234,0.8233792519896705
1780280707.0,0.8220500776893296,1780280706.706743,0.823379252020003
1780280707.0,0.8220500776893296,1780280706.7211971,0.8233792520482871
1780280707.0,0.8220500776893296,1780280706.7335982,0.8233792520635307
1780280707.0,0.8220500776893296,1780280706.7543025,0.8233792520735235
1780280707.0,0.8220500776893296,1780280706.7760236,0.8233792520853556
1780280707.0,0.8220500776893296,1780280706.7985198,0.8233792520964852
1780280707.0,0.8220500776893296,1780280706.8137555,0.8233792521069433
1780280707.0,0.8220500776893296,1780280706.8355467,0.8233792521186455
1780280707.0,0.8220500776893296,1780280706.8609853,0.823379252126965
1780280707.0,0.8220500776893296,1780280706.8777869,0.8233792521339711
1780280707.0,0.8220500776893296,1780280706.8939126,0.8233792521397173
1780280707.0,0.8220500776893296,1780280706.9140992,0.8233792521463779
1780280707.0,0.8220500776893296,1780280706.9354029,0.8233792521495781
1780280707.0,0.8220500776893296,1780280706.9537246,0.8233792521528904
1780280707.0,0.8220500776893296,1780280706.9763203,0.8233792521552291
1780280707.0,0.8220500776893296,1780280707.0015771,0.823379252157551
1780280707.0,0.8220500776893296,1780280707.014863,0.8233792521633063
1780280707.0,0.8220500776893296,1780280707.040592,0.8233792521686539
1780280707.006,0.8220500776893296,1780280707.055927,0.8233792521775302
1780280707.0259,0.8220500776893296,1780280707.0754242,0.8233792521940039
1780280707.046,0.8220500776893296,1780280707.0957086,0.8233792522093606
1780280707.065,0.8220500776893296,1780280707.1143255,0.8233792522275483
1780280707.0839,0.8220500776893296,1780280707.133579,0.8233792522510844
1780280708.0,0.8220500776893296,1780280707.1536183,0.8233792522725061
