header_stamp,x,y,cov_x,cov_y
1780280464.085900068,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.086899996,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.086899996,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.088000059,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.088000059,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.088999987,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.088999987,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.089999914,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.089999914,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.091000080,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.091000080,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.091900110,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.091900110,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.092900038,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.092900038,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.093899965,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.093899965,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.094899893,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.094899893,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.095999956,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.095999956,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.096999884,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.096999884,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.098000050,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.098000050,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.098999977,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.098999977,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.000000000,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.000000000,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.000900030,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.000900030,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.001899958,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.001899958,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.002899885,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.002899885,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.003900051,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.003900051,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.005000114,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.005000114,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.006000042,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.006000042,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.006999969,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.006999969,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.007999897,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.007999897,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.008899927,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.008899927,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.009900093,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.009900093,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.010900021,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.010900021,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.011899948,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.011899948,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.013000011,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.013000011,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.013999939,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.013999939,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.015000105,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.015000105,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.016000032,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.016000032,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.016900063,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.016900063,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.017899990,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.017899990,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.018899918,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.018899918,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.019900084,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.019900084,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.020999908,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.020999908,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.022000074,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.022000074,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.023000002,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.023000002,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.023999929,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.023999929,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.025000095,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.025000095,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.025899887,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.025899887,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.026900053,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.026900053,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.027899981,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.027899981,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.028899908,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.028899908,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.029999971,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.029999971,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.030999899,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.030999899,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.032000065,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.032000065,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.032999992,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.032999992,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.033900023,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.033900023,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.034899950,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.034899950,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.035900116,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.035900116,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.036900043,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.036900043,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.038000107,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.038000107,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.039000034,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.039000034,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.039999962,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.039999962,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.040999889,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.040999889,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.041899920,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.041899920,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.042900085,-89.89119949034253,-44.630289062876905,0.005,0.005
