t_ekf,yaw_rtk,yaw_ekf,diff_deg
1780294752.918177,-2.6359707692870358,-2.6554070039583095,1.1136142162898273
1780294752.9390807,-2.6359707692870358,-2.655405358745231,1.1135199525240203
1780294752.960839,-2.6359707692870358,-2.655403146817581,1.113393218405091
1780294752.980752,-2.6359707692870358,-2.6554009663307228,1.1132682857108331
1780294752.9980865,-2.6359707692870358,-2.6553988674508027,1.1131480287497075
1780294753.0182872,-2.6359707692870358,-2.6553980381547486,1.1131005135858436
1780294753.0379558,-2.6359707692870358,-2.6553980397175256,1.113100603126371
1780294753.0579827,-2.6359707692870358,-2.6553986175517577,1.113133710589124
1780294753.0779867,-2.6359707692870358,-2.6553992741183334,1.113171329082885
1780294753.0980084,-2.6359707692870358,-2.6553999815385416,1.1132118612751567
1780294753.939341,-2.6359707692870358,-2.655408701094597,1.1137114550363596
1780294753.95805,-2.6359707692870358,-2.6554083811275153,1.113693122272994
1780294753.9785566,-2.6359707692870358,-2.655408089272732,1.1136764002256716
1780294753.9989855,-2.6359707692870358,-2.655407782228614,1.1136588078936038
1780294754.0234354,-2.6359707692870358,-2.655407458045373,1.1136402335620976
1780294754.0388846,-2.6359707692870358,-2.6554071769173904,1.1136241261151876
1780294754.0626092,-2.6357962363618372,-2.6554073372133233,1.1236333103955685
1780294754.0787868,-2.6359707692870358,-2.6554075435035367,1.1136451299542
1780294754.1048405,-2.6359707692870358,-2.6554077427516916,1.1136565460325496
1780294754.918003,-2.6359707692870358,-2.655402693703359,1.1133672568725248
1780294754.937992,-2.6359707692870358,-2.655402384378119,1.1133495338417962
1780294754.9580142,-2.6359707692870358,-2.655401393140039,1.1132927400833161
1780294754.977964,-2.6359707692870358,-2.655400447994535,1.1132385872349062
1780294754.9979997,-2.6359707692870358,-2.6553995474577485,1.1131869902777451
1780294755.019662,-2.6359707692870358,-2.655398652469447,1.1131357112253446
1780294755.040332,-2.6359707692870358,-2.6553983187109207,1.1131165882704197
1780294755.068005,-2.6359707692870358,-2.6553986330861687,1.1131346006453167
1780294755.0835557,-2.6359707692870358,-2.6553988627203675,1.1131477577157378
1780294755.1017292,-2.6359707692870358,-2.6553990826646197,1.1131603595931139
1780294755.1180546,-2.6359707692870358,-2.655399292664013,1.1131723916720577
1780294755.9179888,-2.6359707692870358,-2.65540240938013,1.1133509663514878
1780294755.9380465,-2.6359707692870358,-2.655402861611957,1.113376877326542
1780294755.9580002,-2.6359707692870358,-2.655403330268287,1.1134037293563037
1780294755.977987,-2.6359707692870358,-2.655403749280095,1.1134277369644636
1780294755.9979863,-2.6359707692870358,-2.655404154381511,1.1134509475658734
1780294756.0191982,-2.6359707692870358,-2.655404456833616,1.1134682767950026
1780294756.0417922,-2.6359707692870358,-2.655404702473599,1.1134823509293093
1780294756.0579953,-2.6357962363618372,-2.655404968721658,1.1234976058193256
1780294756.0780048,-2.6359707692870358,-2.6554052251547597,1.1135122983538412
1780294756.0980043,-2.6359707692870358,-2.6554055803208265,1.113532647870494
1780294756.9181206,-2.6359707692870358,-2.6554006694331562,1.1132512747333232
1780294756.9380505,-2.6359707692870358,-2.6554006413200293,1.1132496639698009
1780294756.9582195,-2.6359707692870358,-2.65540007486037,1.1132172082220655
1780294757.0173948,-2.6359707692870358,-2.655399489825652,1.113183688201855
1780294757.0254712,-2.6359707692870358,-2.6553988843661216,1.113148997926091
1780294757.0403159,-2.6359707692870358,-2.655398223617543,1.1131111398212226
1780294757.0588303,-2.6357962363618372,-2.6553978227401394,1.123088171237836
1780294757.078555,-2.6359707692870358,-2.6553981749706015,1.1131083525567835
1780294757.098925,-2.6359707692870358,-2.6553987475972045,1.1131411616443736
1780294757.9203978,-2.6359707692870358,-2.655402047986822,1.1133302600402109
1780294757.940074,-2.6359707692870358,-2.6554022071890833,1.1133393816578638
1780294757.9627464,-2.6359707692870358,-2.655402336718835,1.1133468031659641
1780294757.98011,-2.6359707692870358,-2.65540243833779,1.1133526255032058
1780294758.0005896,-2.6359707692870358,-2.655402611992014,1.1133625751573293
1780294758.0179856,-2.6359707692870358,-2.655402804147328,1.1133735848458257
1780294758.0437062,-2.6359707692870358,-2.655403007801353,1.1133852533619506
1780294758.0891354,-2.6359707692870358,-2.6554032002161705,1.113396277918904
1780294758.1062775,-2.6359707692870358,-2.655403425294402,1.1134091739516354
1780294758.1183834,-2.6359707692870358,-2.6554036180225737,1.113420216462464
1780294758.9047742,-2.6359707692870358,-2.6554071758443,1.1136240646316304
1780294758.9404266,-2.6359707692870358,-2.6554073374421985,1.1136333235091995
1780294758.979316,-2.6359707692870358,-2.655407426640997,1.1136384342238952
1780294759.017636,-2.6359707692870358,-2.6554075136331172,1.113643418505232
1780294759.0389993,-2.6359707692870358,-2.6554075563209114,1.1136458643356757
1780294759.0580041,-2.6359707692870358,-2.6554077165458136,1.1136550445463467
1780294759.0779896,-2.6359707692870358,-2.655407908060316,1.1136660175190543
1780294759.097999,-2.6357962363618372,-2.65540819829943,1.123682646995289
1780294759.9197772,-2.6359707692870358,-2.6553835511602846,1.1122704699452244
1780294759.9439561,-2.6359707692870358,-2.6553811934386875,1.1121353824484455
1780294759.9604194,-2.6359707692870358,-2.6553798800044075,1.1120601282075333
1780294759.979692,-2.6359707692870358,-2.6553793144930937,1.112027726795987
1780294759.9981143,-2.6359707692870358,-2.6553792392159603,1.1120234137339486
1780294760.0179892,-2.6359707692870358,-2.655379405033439,1.1120329143756567
1780294760.0380232,-2.6357962363618372,-2.6553800812080324,1.1220716563260098
1780294760.0584762,-2.6359707692870358,-2.6553808297722297,1.1121145458952608
1780294760.080648,-2.6359707692870358,-2.655381570256332,1.1121569725091296
1780294760.1101449,-2.6359707692870358,-2.6553821445396877,1.1121898765216465
1780294760.9179962,-2.6359707692870358,-2.655384172334696,1.1123060606173427
1780294760.9380035,-2.6359707692870358,-2.6553845471877375,1.112327538114558
1780294760.958472,-2.6359707692870358,-2.6553848600076417,1.1123454613748165
1780294760.9782748,-2.6359707692870358,-2.655385165263281,1.1123629512346285
1780294760.9983003,-2.6359707692870358,-2.655385470685192,1.1123804506210924
1780294761.0308647,-2.6359707692870358,-2.6553857207975424,1.1123947810031736
1780294761.052052,-2.6359707692870358,-2.655385970580767,1.1124090925277461
1780294761.0647407,-2.6359707692870358,-2.655386215964723,1.112423151992775
1780294761.0830076,-2.6359707692870358,-2.6553864615390643,1.1124372223660886
1780294761.0982523,-2.6359707692870358,-2.6553866509972694,1.1124480775216363
1780294761.1181188,-2.6359707692870358,-2.6553869299726625,1.1124640616342436
1780294761.919687,-2.6359707692870358,-2.6553988981461996,1.1131497874663998
1780294761.9380095,-2.6359707692870358,-2.655398814983605,1.1131450226007165
1780294761.9692283,-2.6359707692870358,-2.6553987355500133,1.1131404713911603
1780294761.980397,-2.6359707692870358,-2.6553986596771866,1.1131361241984115
1780294762.0107954,-2.6359707692870358,-2.655398716144913,1.113139359560818
1780294762.0392187,-2.6359707692870358,-2.655398727483946,1.1131400092395427
1780294762.063596,-2.6359707692870358,-2.6553989749557716,1.1131541883307037
1780294762.0906603,-2.6359707692870358,-2.6553992954096057,1.1131725489829285
1780294762.1094177,-2.6357962363618372,-2.6553995682597695,1.123188182145702
1780294762.918277,-2.6359707692870358,-2.655405674722738,1.1135380567016078
1780294762.937985,-2.6359707692870358,-2.6554036469833995,1.1134218757955499
1780294762.958006,-2.6359707692870358,-2.655400845993621,1.1132613909027917
1780294762.979654,-2.6359707692870358,-2.6553981436050886,1.1131065554452746
1780294762.9979663,-2.6359707692870358,-2.6553967553505577,1.113027014319765
1780294763.0216136,-2.6359707692870358,-2.6553958287132455,1.1129739219126356
1780294763.038319,-2.6359707692870358,-2.6553953799965284,1.112948212338548
1780294763.0581284,-2.6359707692870358,-2.6553958316517132,1.1129740902744325
1780294763.0801435,-2.6357962363618372,-2.6553963574453063,1.1230042160281613
1780294763.104889,-2.6357962363618372,-2.655396842088832,1.1230319840567553
1780294763.9186983,-2.6359707692870358,-2.655378691454896,1.1119920293367707
1780294763.9394357,-2.6359707692870358,-2.6553782514924227,1.111966821343917
1780294763.9648263,-2.6359707692870358,-2.6553778169711144,1.1119419251068445
1780294763.9932761,-2.6359707692870358,-2.6553777363757742,1.1119373073340038
1780294764.0250044,-2.6359707692870358,-2.655377747143968,1.1119379243060667
1780294764.045684,-2.6357962363618372,-2.6553778553723455,1.1219441253352622
