bag_ts,header_stamp,x,y,vx,vy,wz
1780294753.654411077,1780294753.638212919,-209.0970038428754,-103.6772117102783,0.0,0.0,0.0
1780294753.673373699,1780294753.659255981,-209.09709393618488,-103.67725976486098,0.0,0.0,0.0
1780294753.698639870,1780294753.684692383,-209.0971774772614,-103.6773043564527,0.0,0.0,0.0
1780294753.734419346,1780294753.717852354,-209.09725666357338,-103.67734664643443,0.0,0.0,0.0
1780294753.745153666,1780294753.735190392,-209.09732041442592,-103.67738071581802,0.0,0.0,0.0
1780294753.761312723,1780294753.746342421,-209.09736272536404,-103.67740332848672,0.0,0.0,0.0
1780294753.767722368,1780294753.761000156,-209.09739404963628,-103.67742007184754,0.0,0.0,0.0
1780294753.796610355,1780294753.778118610,-209.09744637096392,-103.67744803777593,0.0,0.0,0.0
1780294753.820078373,1780294753.798892021,-209.09749610942453,-103.67747463859666,0.0,0.0,0.0
1780294753.828572989,1780294753.820899725,-209.09754345122013,-103.67749997271916,0.0,0.0,0.0
1780294753.858668089,1780294753.840595484,-209.09760602159992,-103.67753348064251,0.0,0.0,0.0
1780294753.869910479,1780294753.860198498,-209.09766463596418,-103.67756489769907,0.0,0.0,0.0
1780294753.884917498,1780294753.878062963,-209.09770428398176,-103.67758616544141,0.0,0.0,0.0
1780294753.922259092,1780294753.898007870,-209.09774960882314,-103.67761049606594,0.0,0.0,0.0
1780294753.955028534,1780294753.939341068,-209.0977926508431,-103.67763362014217,0.0,0.0,0.0
1780294753.973035574,1780294753.958050013,-209.0978217886134,-103.67764927033629,0.0,0.0,0.0
1780294753.996638298,1780294753.978556633,-209.09785803039637,-103.67766873768335,0.0,0.0,0.0
1780294754.018195152,1780294753.998985529,-209.09788654968736,-103.67768406094714,0.0,0.0,0.0
1780294754.037302971,1780294754.023435354,-209.0979095492766,-103.67769640433897,0.0,0.0,0.0
1780294754.048498631,1780294754.038884640,-209.09800977469982,-103.67774962428933,0.0,0.0,0.0
1780294754.071522713,1780294754.062609196,-209.09820773420466,-103.67785455936023,0.0,0.0,0.0
1780294754.098681211,1780294754.078786850,-209.09842075897123,-103.67796751895776,0.0,0.0,0.0
1780294754.136340857,1780294754.104840517,-209.09856284577765,-103.67804298769671,0.0,0.0,0.0
1780294754.160737276,1780294754.138852835,-209.0986776477845,-103.67810403627726,0.0,0.0,0.0
1780294754.178012133,1780294754.166108131,-209.09874754223074,-103.67814128851747,0.0,0.0,0.0
1780294754.189277887,1780294754.180093050,-209.0987925073612,-103.67816530296538,0.0,0.0,0.0
1780294754.215686798,1780294754.198001385,-209.09883908642135,-103.6781902329174,0.0,0.0,0.0
1780294754.223108292,1780294754.218457222,-209.0988770105464,-103.67821058868736,0.0,0.0,0.0
1780294754.247328281,1780294754.237991810,-209.09891972068016,-103.67823359893131,0.0,0.0,0.0
1780294754.271790743,1780294754.258497953,-209.09896191172922,-103.67825645983729,0.0,0.0,0.0
1780294754.288017750,1780294754.278001070,-209.09899435800583,-103.67827417049301,0.0,0.0,0.0
1780294754.366747141,1780294754.299637079,-209.09901211451805,-103.6782839299336,0.0,0.0,0.0
1780294754.399522066,1780294754.375162840,-209.0990274924132,-103.67829243221578,0.0,0.0,0.0
1780294754.414708853,1780294754.400823116,-209.09903672665055,-103.67829756252092,0.0,0.0,0.0
1780294754.426604509,1780294754.418433428,-209.09904324154093,-103.67830119313196,0.0,0.0,0.0
1780294754.449060917,1780294754.441939116,-209.0990514054051,-103.6783057577006,0.0,0.0,0.0
1780294754.471120834,1780294754.458561420,-209.09906246940164,-103.67831197992389,0.0,0.0,0.0
1780294754.493544579,1780294754.480044603,-209.0990738572383,-103.67831843570616,0.0,0.0,0.0
1780294754.509247780,1780294754.497965813,-209.09908388329126,-103.67832417170644,0.0,0.0,0.0
1780294754.531078815,1780294754.517985582,-209.09909277465783,-103.67832930794586,0.0,0.0,0.0
1780294754.547006130,1780294754.538078785,-209.09909962962513,-103.67833330543475,0.0,0.0,0.0
1780294754.572987318,1780294754.558503389,-209.09910607864006,-103.67833708831854,0.0,0.0,0.0
1780294754.590874195,1780294754.579286575,-209.09911206096942,-103.67834062450149,0.0,0.0,0.0
1780294754.610253334,1780294754.597991943,-209.09911762325893,-103.67834393863595,0.0,0.0,0.0
1780294754.641394615,1780294754.618062019,-209.09912363860033,-103.6783475545466,0.0,0.0,0.0
1780294754.651548624,1780294754.645674229,-209.09912840438116,-103.67835044760218,0.0,0.0,0.0
1780294754.663207531,1780294754.658006907,-209.09913208680635,-103.67835270567075,0.0,0.0,0.0
1780294754.696397305,1780294754.678016424,-209.0991368494758,-103.6783556593448,0.0,0.0,0.0
1780294754.710535526,1780294754.698950052,-209.09914060592712,-103.6783580187991,0.0,0.0,0.0
1780294754.725786686,1780294754.718204975,-209.09914409425858,-103.67836023649524,0.0,0.0,0.0
1780294754.753520966,1780294754.738399744,-209.09914846295538,-103.67836304408021,0.0,0.0,0.0
1780294754.775340557,1780294754.758332968,-209.09915361473855,-103.67836639006603,0.0,0.0,0.0
1780294754.789866924,1780294754.778348923,-209.0991574793702,-103.67836893102482,0.0,0.0,0.0
1780294754.818351030,1780294754.797988415,-209.09916235236344,-103.67837219167589,0.0,0.0,0.0
1780294754.835200310,1780294754.819055557,-209.09916603596133,-103.6783746989944,0.0,0.0,0.0
1780294754.853454351,1780294754.838004112,-209.09916945631176,-103.67837706705912,0.0,0.0,0.0
1780294754.870519400,1780294754.858005285,-209.09917224915438,-103.67837904111137,0.0,0.0,0.0
1780294754.893554211,1780294754.877984285,-209.09917514391134,-103.67838113115958,0.0,0.0,0.0
1780294754.910509109,1780294754.897985935,-209.09917752019996,-103.67838288484951,0.0,0.0,0.0
1780294754.932471752,1780294754.918003082,-209.0991805188735,-103.67838515398883,0.0,0.0,0.0
1780294754.950070858,1780294754.937992096,-209.09918324203622,-103.67838727733177,0.0,0.0,0.0
1780294754.970345020,1780294754.958014250,-209.0991859509318,-103.67838939294491,0.0,0.0,0.0
1780294754.987980366,1780294754.977963924,-209.0991886241551,-103.67839148951492,0.0,0.0,0.0
1780294755.010506868,1780294754.997999668,-209.09919123923942,-103.67839355516828,0.0,0.0,0.0
1780294755.037257671,1780294755.019661903,-209.09919361718673,-103.67839543318598,0.0,0.0,0.0
1780294755.064480066,1780294755.040332079,-209.09919548480713,-103.6783969171278,0.0,0.0,0.0
1780294755.082616091,1780294755.068005085,-209.0991986848096,-103.67839904303928,0.0,0.0,0.0
1780294755.101233721,1780294755.083555698,-209.09920109506268,-103.67840062731864,0.0,0.0,0.0
1780294755.117184401,1780294755.101729155,-209.09920420712677,-103.67840252038619,0.0,0.0,0.0
1780294755.135181189,1780294755.118054628,-209.09920748678852,-103.6784044399287,0.0,0.0,0.0
1780294755.162086964,1780294755.140003920,-209.09921141872476,-103.67840682832693,0.0,0.0,0.0
1780294755.182655573,1780294755.167836428,-209.09921368005863,-103.67840827170902,0.0,0.0,0.0
1780294755.198665857,1780294755.189310551,-209.0992158000712,-103.67840970243383,0.0,0.0,0.0
1780294755.217946529,1780294755.206972361,-209.09921711381028,-103.67841064495511,0.0,0.0,0.0
1780294755.226788998,1780294755.217980146,-209.0992181773916,-103.67841145524275,0.0,0.0,0.0
1780294755.246730089,1780294755.238275051,-209.09921924611876,-103.6784123302608,0.0,0.0,0.0
1780294755.268879175,1780294755.258058548,-209.09922039155848,-103.67841336983373,0.0,0.0,0.0
1780294755.285908699,1780294755.277990103,-209.09922135294542,-103.67841437407041,0.0,0.0,0.0
1780294755.318769693,1780294755.298009634,-209.0992220598331,-103.67841524370402,0.0,0.0,0.0
1780294755.331617355,1780294755.320335388,-209.0992225294023,-103.67841592582728,0.0,0.0,0.0
1780294755.349482775,1780294755.339496136,-209.0992228096763,-103.67841638387385,0.0,0.0,0.0
1780294755.368766546,1780294755.358152390,-209.09922306259807,-103.67841682742595,0.0,0.0,0.0
1780294755.394324541,1780294755.378261566,-209.09922329020165,-103.67841725755852,0.0,0.0,0.0
1780294755.406573772,1780294755.398019791,-209.0992235134591,-103.67841774731137,0.0,0.0,0.0
1780294755.430087566,1780294755.418007612,-209.09922376615032,-103.67841843839548,0.0,0.0,0.0
1780294755.450670958,1780294755.438000441,-209.099223956834,-103.67841915850943,0.0,0.0,0.0
1780294755.471400976,1780294755.458215952,-209.0992240835693,-103.67841990658097,0.0,0.0,0.0
1780294755.493857384,1780294755.477989674,-209.0992241407833,-103.6784205558294,0.0,0.0,0.0
1780294755.511088848,1780294755.497990847,-209.09922415466121,-103.67842118201884,0.0,0.0,0.0
1780294755.528570652,1780294755.517998695,-209.09922413713065,-103.67842172958999,0.0,0.0,0.0
1780294755.548675776,1780294755.537990093,-209.0992241016822,-103.6784222057146,0.0,0.0,0.0
1780294755.573994398,1780294755.558007479,-209.09922405030815,-103.67842267332199,0.0,0.0,0.0
1780294755.594830275,1780294755.578424931,-209.09922398868576,-103.67842313541368,0.0,0.0,0.0
1780294755.612373114,1780294755.597976208,-209.099223917535,-103.6784235923701,0.0,0.0,0.0
1780294755.633214712,1780294755.619451046,-209.09922384907318,-103.6784239888461,0.0,0.0,0.0
1780294755.653997660,1780294755.637997866,-209.0992237743119,-103.67842438191674,0.0,0.0,0.0
1780294755.665837526,1780294755.657980442,-209.09922372029496,-103.67842466230938,0.0,0.0,0.0
1780294755.697396278,1780294755.678857088,-209.09922363660172,-103.67842505052906,0.0,0.0,0.0
1780294755.716358423,1780294755.698616505,-209.09922355822502,-103.67842537971914,0.0,0.0,0.0
1780294755.730388641,1780294755.717912674,-209.09922345997865,-103.67842576010611,0.0,0.0,0.0
1780294755.748465061,1780294755.738248825,-209.09922333981166,-103.6784261905735,0.0,0.0,0.0
1780294755.770643711,1780294755.758365393,-209.09922317939368,-103.67842672312243,0.0,0.0,0.0
1780294755.790653944,1780294755.778228045,-209.09922300928218,-103.67842725039323,0.0,0.0,0.0
1780294755.810401201,1780294755.797981024,-209.09922277742416,-103.67842792995154,0.0,0.0,0.0
1780294755.832481384,1780294755.817990065,-209.0992225344991,-103.67842860339896,0.0,0.0,0.0
1780294755.851999521,1780294755.837990999,-209.09922226254784,-103.67842932289273,0.0,0.0,0.0
1780294755.871958017,1780294755.858019590,-209.0992220018133,-103.67842998638426,0.0,0.0,0.0
1780294755.892573595,1780294755.877995729,-209.09922175514956,-103.6784305954424,0.0,0.0,0.0
1780294755.911849022,1780294755.897984743,-209.09922150285968,-103.67843120130436,0.0,0.0,0.0
1780294755.933730364,1780294755.917988777,-209.09922122411822,-103.67843185453522,0.0,0.0,0.0
1780294755.952145576,1780294755.938046455,-209.09922094053564,-103.67843250494633,0.0,0.0,0.0
1780294755.975407839,1780294755.958000183,-209.0992206310574,-103.67843320293998,0.0,0.0,0.0
1780294755.994501114,1780294755.977987051,-209.09922034010486,-103.6784338489141,0.0,0.0,0.0
1780294756.018226862,1780294755.997986317,-209.099220046475,-103.67843449321245,0.0,0.0,0.0
1780294756.044363260,1780294756.019198179,-209.0992198187508,-103.67843498766878,0.0,0.0,0.0
1780294756.054576635,1780294756.041792154,-209.0992196521662,-103.67843539136479,0.0,0.0,0.0
1780294756.070626974,1780294756.057995319,-209.09921951928527,-103.67843581277484,0.0,0.0,0.0
1780294756.130249500,1780294756.078004837,-209.09921941540694,-103.6784361879773,0.0,0.0,0.0
1780294756.145226240,1780294756.098004341,-209.0992192278901,-103.67843670317505,0.0,0.0,0.0
1780294756.145270824,1780294756.119772673,-209.0992190166976,-103.67843720570609,0.0,0.0,0.0
1780294756.159310102,1780294756.140263081,-209.099218792717,-103.67843770132463,0.0,0.0,0.0
1780294756.173702717,1780294756.157967806,-209.0992185845525,-103.67843814377113,0.0,0.0,0.0
1780294756.195417881,1780294756.178317785,-209.09921841972172,-103.67843848626414,0.0,0.0,0.0
1780294756.206907988,1780294756.198266745,-209.0992183008566,-103.67843873025929,0.0,0.0,0.0
1780294756.231215000,1780294756.219289303,-209.09921813299115,-103.67843907101933,0.0,0.0,0.0
1780294756.247058868,1780294756.238057613,-209.0992179637663,-103.67843941098558,0.0,0.0,0.0
1780294756.286052942,1780294756.260104656,-209.09921779346368,-103.67843975030694,0.0,0.0,0.0
