bag_ts,header_stamp,steering_tire_angle
1780294752.591451168,1780294752.566358566,0.10000000149011612
1780294752.591485023,1780294752.587948322,0.10000000149011612
1780294752.600887775,1780294752.599601269,0.10000000149011612
1780294752.625016689,1780294752.624158382,0.10000000149011612
1780294752.646739721,1780294752.645809174,0.10000000149011612
1780294752.669710636,1780294752.668450594,0.10000000149011612
1780294752.686143875,1780294752.684377670,0.10000000149011612
1780294752.712787390,1780294752.710764408,0.10000000149011612
1780294752.724722147,1780294752.722769022,0.10000000149011612
1780294752.746318102,1780294752.744953871,0.10000000149011612
1780294752.769045830,1780294752.768038988,0.10000000149011612
1780294752.780266523,1780294752.779677629,0.10000000149011612
1780294752.805070162,1780294752.803974390,0.10000000149011612
1780294752.828206301,1780294752.826655388,0.10000000149011612
1780294752.849762201,1780294752.848632574,0.10000000149011612
1780294752.866042376,1780294752.863694906,0.10000000149011612
1780294752.888667583,1780294752.887241364,0.10000000149011612
1780294752.902173996,1780294752.900882959,0.10000000149011612
1780294752.925933838,1780294752.924224138,0.10000000149011612
1780294752.947210789,1780294752.946330547,0.10000000149011612
1780294752.959580898,1780294752.959009886,0.10000000149011612
1780294752.982557535,1780294752.982020617,0.10000000149011612
1780294753.006018639,1780294753.005656481,0.10000000149011612
1780294753.028177500,1780294753.027686596,0.10000000149011612
1780294753.040401220,1780294753.039992332,0.10000000149011612
1780294753.063881159,1780294753.063330650,0.10000000149011612
1780294753.085614204,1780294753.084604025,0.10000000149011612
1780294753.107882023,1780294753.106692791,0.10000000149011612
1780294753.119376183,1780294753.118675232,0.10000000149011612
1780294753.141578674,1780294753.140989304,0.10000000149011612
1780294753.165839434,1780294753.164614439,0.10000000149011612
1780294753.179105997,1780294753.178634405,0.10000000149011612
1780294753.202894688,1780294753.202498674,0.10000000149011612
1780294753.225846291,1780294753.225461721,0.10000000149011612
1780294753.249742508,1780294753.248170853,0.10000000149011612
1780294753.261122942,1780294753.259666443,0.10000000149011612
1780294753.284595251,1780294753.282010794,0.10000000149011612
1780294753.305257559,1780294753.303650618,0.10000000149011612
1780294753.328998089,1780294753.326793909,0.10000000149011612
1780294753.342199802,1780294753.341580868,0.10000000149011612
1780294753.364329815,1780294753.363654852,0.10000000149011612
1780294753.385950327,1780294753.385623693,0.10000000149011612
1780294753.408915758,1780294753.408166170,0.10000000149011612
1780294753.420124769,1780294753.419561863,0.10000000149011612
1780294753.443411112,1780294753.442280531,0.10000000149011612
1780294753.465940475,1780294753.464939594,0.10000000149011612
1780294753.488483429,1780294753.487030506,0.10000000149011612
1780294753.504451275,1780294753.502784252,0.10000000149011612
1780294753.530139208,1780294753.529845476,0.10000000149011612
1780294753.542062044,1780294753.541581631,0.10000000149011612
1780294753.566822767,1780294753.564771652,0.10000000149011612
1780294753.587945700,1780294753.586642981,0.10000000149011612
1780294753.609008551,1780294753.608667135,0.10000000149011612
1780294753.621146679,1780294753.620611668,0.10000000149011612
1780294753.644634247,1780294753.644040346,0.10000000149011612
1780294753.667857885,1780294753.666105032,0.10000000149011612
