bag_ts,header_stamp,ax,ay,az,wx,wy,wz
1780294752.560665369,1780294752.523636580,0.0,-0.009800000000000001,9.8,0.0,-0.0005235987755982988,0.00017453292519943296
1780294752.560715199,1780294752.531088114,0.0,-0.009800000000000001,9.8,0.0,-0.00034906585039886593,0.00017453292519943296
1780294752.560725927,1780294752.542197466,0.0,-0.009800000000000001,9.8,0.0,-0.00034906585039886593,0.00017453292519943296
1780294752.561444521,1780294752.551227331,-0.009800000000000001,-0.009800000000000001,9.8,0.0,-0.00034906585039886593,0.00017453292519943296
1780294752.591418028,1780294752.562116385,-0.009800000000000001,-0.009800000000000001,9.8,0.0,-0.00034906585039886593,0.0
1780294752.591480494,1780294752.571485281,-0.009800000000000001,-0.019600000000000003,9.7902,0.0,-0.00034906585039886593,0.0
1780294752.591493845,1780294752.582240343,0.0,0.0,9.8,0.0,-0.0005235987755982988,0.0
1780294752.592906713,1780294752.591466665,-0.009800000000000001,0.0,9.7902,0.0,-0.00034906585039886593,0.0
1780294752.602538824,1780294752.602161884,0.0,0.0,9.8,-0.00017453292519943296,-0.00034906585039886593,0.0
1780294752.611467123,1780294752.611341238,0.0,-0.009800000000000001,9.8,0.0,-0.0005235987755982988,0.0
1780294752.622752905,1780294752.622583866,-0.009800000000000001,-0.009800000000000001,9.8,-0.00017453292519943296,-0.0005235987755982988,0.00017453292519943296
1780294752.632048845,1780294752.631139278,-0.009800000000000001,-0.009800000000000001,9.7902,0.0,-0.0005235987755982988,0.00017453292519943296
1780294752.643185616,1780294752.642158747,-0.009800000000000001,-0.009800000000000001,9.7902,0.0,-0.0005235987755982988,0.00017453292519943296
1780294752.651458979,1780294752.651231766,0.0,-0.019600000000000003,9.7902,0.0,-0.00034906585039886593,0.00017453292519943296
1780294752.662464619,1780294752.662136793,0.0,-0.009800000000000001,9.8,-0.00017453292519943296,-0.0005235987755982988,0.0
1780294752.671425343,1780294752.671240091,0.0,-0.009800000000000001,9.8,0.0,-0.00034906585039886593,0.00017453292519943296
1780294752.682817698,1780294752.682529211,0.0,-0.009800000000000001,9.8,-0.00017453292519943296,-0.00034906585039886593,0.00034906585039886593
1780294752.691395283,1780294752.691216469,0.0,-0.009800000000000001,9.8,0.0,-0.0005235987755982988,0.00017453292519943296
1780294752.702482462,1780294752.702205896,0.0,-0.019600000000000003,9.8,-0.00017453292519943296,-0.0005235987755982988,0.0
1780294752.711593390,1780294752.711115360,0.0,-0.019600000000000003,9.8,0.0,-0.00034906585039886593,0.00017453292519943296
1780294752.722860575,1780294752.722135544,0.0,-0.019600000000000003,9.8,-0.00017453292519943296,-0.0005235987755982988,0.00034906585039886593
1780294752.732037544,1780294752.731702805,0.0,-0.019600000000000003,9.7902,0.0,-0.0005235987755982988,0.00017453292519943296
1780294752.742370605,1780294752.742156506,-0.009800000000000001,-0.019600000000000003,9.8098,0.0,-0.0005235987755982988,0.00017453292519943296
1780294752.751343489,1780294752.751178741,0.0,-0.009800000000000001,9.7902,0.0,-0.0005235987755982988,0.00017453292519943296
1780294752.763824701,1780294752.762855291,0.0,-0.009800000000000001,9.7902,0.0,-0.00034906585039886593,0.0
1780294752.771403313,1780294752.771200895,0.0,-0.019600000000000003,9.8,-0.00017453292519943296,-0.0005235987755982988,0.0
1780294752.782919168,1780294752.782622099,-0.009800000000000001,-0.009800000000000001,9.8,-0.00017453292519943296,-0.00034906585039886593,0.0
1780294752.795096874,1780294752.791308641,-0.009800000000000001,-0.009800000000000001,9.8,-0.00017453292519943296,-0.0005235987755982988,0.00017453292519943296
1780294752.802682877,1780294752.802337646,0.0,-0.019600000000000003,9.7902,-0.00017453292519943296,-0.0005235987755982988,0.00017453292519943296
1780294752.811490059,1780294752.811256170,0.0,-0.019600000000000003,9.8,0.0,-0.00034906585039886593,0.0
1780294752.822710037,1780294752.822479963,0.0,-0.019600000000000003,9.7902,-0.00017453292519943296,-0.00034906585039886593,0.0
1780294752.831421614,1780294752.831106186,0.0,-0.019600000000000003,9.8,0.0,-0.00034906585039886593,0.00017453292519943296
1780294752.842623711,1780294752.842292309,0.0,-0.029400000000000003,9.7902,0.0,-0.0005235987755982988,0.00017453292519943296
1780294752.851425648,1780294752.851206779,-0.009800000000000001,-0.009800000000000001,9.7902,0.0,-0.00034906585039886593,0.00017453292519943296
1780294752.864422798,1780294752.862171888,0.0,-0.019600000000000003,9.7902,0.0,-0.00034906585039886593,0.00017453292519943296
1780294752.871312380,1780294752.871104956,0.0,-0.019600000000000003,9.7902,0.0,-0.0005235987755982988,0.00034906585039886593
1780294752.884175539,1780294752.882414818,0.0,-0.009800000000000001,9.8,0.0,-0.00034906585039886593,0.00034906585039886593
1780294752.895652294,1780294752.891251802,0.0,-0.019600000000000003,9.7902,0.0,-0.00034906585039886593,0.00017453292519943296
