bag_ts,header_stamp,longitudinal_velocity
1780294761.726601839,1780294761.724705219,0.0
1780294761.747799158,1780294761.746891260,0.0
1780294761.759479523,1780294761.759228706,0.0
1780294761.783900499,1780294761.782938719,0.0
1780294761.805338144,1780294761.805055618,0.0
1780294761.828620434,1780294761.827798367,0.0
1780294761.852365255,1780294761.850697994,0.0
1780294761.863555670,1780294761.863023043,0.0
1780294761.886168003,1780294761.885396719,0.0
1780294761.907605886,1780294761.907391071,0.0
1780294761.931158304,1780294761.930794716,0.0
1780294761.944494486,1780294761.942582607,0.0
1780294761.968636990,1780294761.965021372,0.0
1780294761.987325191,1780294761.986901283,0.0
1780294761.999232054,1780294761.998877287,0.0
1780294762.023226500,1780294762.022285938,0.0
1780294762.044643164,1780294762.043807268,0.0
1780294762.065949440,1780294762.065598011,0.0
1780294762.080437899,1780294762.080099344,0.0
1780294762.103680611,1780294762.102858067,0.0
1780294762.126745462,1780294762.125894547,0.0
1780294762.138711214,1780294762.138434887,0.0
1780294762.163576841,1780294762.162599325,0.0
1780294762.185461283,1780294762.185238600,0.0
1780294762.208358526,1780294762.208075047,0.0
1780294762.221282959,1780294762.220999241,0.0
1780294762.243017435,1780294762.242636919,0.0
1780294762.265905619,1780294762.264520645,0.0
1780294762.288629055,1780294762.288026810,0.0
1780294762.299771070,1780294762.299457550,0.0
1780294762.324090719,1780294762.323503256,0.0
1780294762.345334053,1780294762.345040083,0.0
1780294762.360049486,1780294762.359537601,0.0
1780294762.382739305,1780294762.382007360,0.0
1780294762.405331135,1780294762.405014753,0.0
1780294762.427423239,1780294762.426943779,0.0
1780294762.439327240,1780294762.438513756,0.0
1780294762.463317394,1780294762.462025166,0.0
1780294762.483991861,1780294762.483653545,0.0
1780294762.505880594,1780294762.505480289,0.0
1780294762.528011799,1780294762.527684927,0.0
1780294762.540136576,1780294762.539801121,0.0
1780294762.564945698,1780294762.562817574,0.0
1780294762.584863424,1780294762.584608793,0.0
1780294762.609619141,1780294762.608127356,0.0
1780294762.621801615,1780294762.621294975,0.0
1780294762.647192478,1780294762.644479513,0.0
1780294762.668479443,1780294762.668031216,0.0
1780294762.682075739,1780294762.681387424,0.0
1780294762.704130411,1780294762.703634024,0.0
1780294762.722518206,1780294762.720656633,0.0
1780294762.744532108,1780294762.743166208,0.0
1780294762.769317150,1780294762.768734217,0.0
1780294762.781102180,1780294762.780830383,0.0
1780294762.813935757,1780294762.804148436,0.0
1780294762.824210405,1780294762.823888540,0.0
1780294762.851384878,1780294762.846401930,0.0
1780294762.859621525,1780294762.859166861,0.0
1780294762.884279728,1780294762.881474495,0.0
1780294762.904823065,1780294762.903976679,0.0
1780294762.925696135,1780294762.925513268,0.0
1780294762.949331284,1780294762.948892117,0.0
1780294762.961009502,1780294762.960753679,0.0
1780294762.982810259,1780294762.982656956,0.0
1780294763.006308794,1780294763.005953789,0.0
1780294763.027860880,1780294763.027568102,0.0
1780294763.039743423,1780294763.039372206,0.0
1780294763.063333035,1780294763.062028170,0.0
1780294763.084128141,1780294763.083853483,0.0
1780294763.106734991,1780294763.106442690,0.0
1780294763.130861998,1780294763.130448341,0.0
1780294763.142867804,1780294763.142483234,0.0
1780294763.166709423,1780294763.166161299,0.0
1780294763.188310385,1780294763.187870741,0.0
1780294763.202471018,1780294763.200138092,0.0
1780294763.224635601,1780294763.223750830,0.0
1780294763.251030684,1780294763.246587992,0.0
1780294763.259542227,1780294763.259252787,0.0
1780294763.285552025,1780294763.284368753,0.0
1780294763.308284998,1780294763.307878733,0.0
1780294763.320779324,1780294763.319765329,0.0
1780294763.342687607,1780294763.342350960,0.0
1780294763.366734743,1780294763.365426779,0.0
1780294763.379180431,1780294763.378857613,0.0
1780294763.401668787,1780294763.401217222,0.0
1780294763.423322201,1780294763.422579765,0.0
1780294763.445762396,1780294763.445304871,0.0
1780294763.462344408,1780294763.461756468,0.0
1780294763.483929396,1780294763.483598232,0.0
1780294763.506640196,1780294763.505696535,0.0
1780294763.529806614,1780294763.529069185,0.0
1780294763.541218042,1780294763.540480614,0.0
1780294763.563584328,1780294763.562623978,0.0
1780294763.586557627,1780294763.585656881,0.0
1780294763.607932806,1780294763.607466698,0.0
1780294763.620768547,1780294763.619703531,0.0
1780294763.643332958,1780294763.641921759,0.0
1780294763.666538239,1780294763.664100409,0.0
1780294763.687279224,1780294763.686652660,0.0
